ENRICHMENT SUMMARY
Total contacts: 270
With direct emails: 0 (0.0%)
With any email: 140 (51.9%)
With phone numbers: 0 (0.0%)
With verified addresses: 0 (0.0%)
With verified phones: 0 (0.0%)

email,city,state,business_status,website_status,fit_score,outreach_readiness
,,,possibly_closed,404,10,5
,Winooski,Vermont,open,404,180,10
,Fort Lauderdale,Florida,open,404,100,10
,Jacksonville,Florida,open,404,140,0
privacy@jotform.com,San Francisco,California,open,404,50,70
,Akron,OH,open,200,160,10
,Akron,OH,open,200,160,10
communications@pathfinder.org,Watertown,Massachusetts,,200,50,30
fieldtrips@arcadiafood.org,Alexandria,Virginia,open,200,160,70
YOURACTUALIZEDVISIONS@GMAIL.COM?subject=COMPETITIVE%20LANDSCAPE%20REPORT,Gardena,California,,200,120,70
,Portsmouth,New York,open,200,70,10
,Sarasota,Florida,open,200,50,10
,Sarasota,Florida,open,200,50,10
,Abilene,Texas,open,404,100,0
,New York,New York,open,200,90,0
gene@forestlakecamp.com,New York,New York,open,200,130,70
barrie@campspecialists.com,Jericho,New York,open,200,160,70
,Edwards,Mississippi,open,404,120,0
INFO@MUSICSTOREINC.COM,Tulsa,Oklahoma,open,200,50,70
,Clifton,New Jersey,open,404,130,10
,Indianapolis,Indiana,open,200,50,10
,Indianapolis,Indiana,open,200,50,10
,Indianapolis,Indiana,open,200,50,10
support@circuitree.com,Riverside,California,,200,180,70
,Torrance,California,open,404,170,0
,Burbank,California,open,200,60,0
,Poughkeepsie,New York,closed_permanently,200,0,0
,Little Rock,Arkansas,open,404,100,0
,Boise,Idaho,open,404,50,10
mitch@chateaugay.com,Merrill,NY,open,200,150,35
adam@cecbr.com,,,closed_permanently,404,,
adam@cecbr.com,,,closed_permanently,404,,
info@cecbr.com,,,closed_permanently,404,,
info@cecbr.com,,,closed_permanently,404,,
cole@weequahic.com,,,possibly_closed,404,,
cole@weequahic.com,,,possibly_closed,404,,
info@campwayne.com,,,open,404,,
woody@camprobinhood.com,Freedom,,open,404,,
woody@camprobinhood.com,Freedom,,open,404,,
tony@campemerson.com,,,open,404,,
drew@campwatitoh.com,,,open,404,,
drew@campwatitoh.com,,,open,404,,
info@silverlakecamp.com,Swan Lake,,,404,,
info@tylerhillcamp.com,,,open,404,,
travel@adv-travel.com,Medicine Park,Oklahoma,open,404,,
travel@adv-travel.com,Medicine Park,Oklahoma,open,404,,
caregiver_support@aacounty.org,Annapolis,Maryland,open,404,,
caregiver_support@aacounty.org,Annapolis,Maryland,open,404,,
booking@motema.com,San Francisco,California,open,404,,
,Brentwood,California,,404,,
,Menlo Park,California,,404,,
customerservice@gettothegym.com,Boston,Massachusetts,open,404,,
box1@kpcenter.org,Orangeburg,New York,open,404,,
support@ccca.org?subject=Request from CCCA website,Long Lake,New York,open,404,,
tdroles@cityofbartlesville.org,Burbank,California,open,404,,
info@houcks.com,San Antonio,Texas,open,404,,
,Yoakum,Texas,open,404,,
,Grain Valley,Missouri,closed_permanently,404,,
chesnutmusicrepairs@gmail.com,Overland,Missouri,open,404,,
contact@kiddermusic.com,Flora,Illinois,open,404,,
gro.wgsan@ffats,Aurora,Illinois,open,404,,
,Murphy,North Carolina,open,404,,
,Warrenton,Virginia,open,404,,
,New York,New York,closed_permanently,404,,
,Montvale,New Jersey,,404,,
,Kirkland,Washington,open,404,,
,Colorado Springs,Colorado,open,404,,
,Bartlesville,Oklahoma,closed_permanently,404,,
,Cabot,Arkansas,open,,,
,Kansas City,Missouri,open,404,,
info@trainyardgym.com,Saint Peters,Missouri,open,404,,
,Effingham,Illinois,closed_permanently,404,,
,Peoria,Illinois,open,404,,
press@blueman.com,Naperville,Illinois,open,404,,
joel@jsmmusic.com,Lake zurich,Illinois,open,404,,
,Sioux Falls,South Dakota,open,404,,
,Stanton,Michigan,open,404,,
privacy@perkville.com,South Bend,Indiana,open,404,,
,Lancaster,Ohio,open,404,,
info@travelcalumet.com,Lithonia,Georgia,open,404,,
aldiemill@nvrpa.org,Charleston,South Carolina,open,404,,
,Duncan,South Carolina,open,404,,
,Wheaton,Maryland,open,404,,
,Enola,Pennsylvania,open,404,,
,State College,Pennsylvania,open,404,,
hostmaster@nyc.gov,Pittsburgh,Pennsylvania,open,404,,
info@campnewyork.com,New York,New York,open,404,,
,New York,New York,open,404,,
,New York,New York,possibly_closed,404,,
,South Bound Brook,New Jersey,open,,,
recpark@boreal.org,Budd Lake,New Jersey,open,404,,
wecare@outdooradventuresinc.com,Lyndhurst,New Jersey,open,404,,
inspections@palmettobay-fl.govr,Hilbert,Wisconsin,closed_permanently,404,,
,Lorton,Virginia,closed_permanently,404,,
campkrem@campingunlimited.org,Sevierville,Tennessee,open,404,,
info@icodeschool.com,Knoxville,Tennessee,open,404,,
registration@challengercolorado.org,Springville,Tennessee,open,404,,
info@younggates.com,Chattanooga,Tennessee,,404,,
PrivacyPolicy@e-hps.com%20,New York,New York,open,404,,
,Pittsford,New York,open,404,,
,Las Vegas,Nevada,open,404,,
privacy@snapology.com,Carson City,Nevada,closed_temporarily,404,,
,Grand Marais,Minnesota,open,404,,
,Grand Marais,Minnesota,,404,,
support@thecodegalaxy.com?subject=Support,Bay City,Michigan,open,404,,
privacy@cognitoforms.com,Palmetto Bay,Florida,closed_permanently,404,,
info@oneononelearning.com,San Jose,California,open,404,,
elizabeth.breau@gmail.com,Boulder Creek,California,,404,,
tutorwiththebest@gmail.com,McKinney,Texas,open,404,,
,Colorado Springs,Colorado,,404,,
,Fremont,California,,404,,
,Frisco,Texas,open,404,,
,Winchester,Massachusetts,open,404,,
,Sugar Land,Texas,open,404,,
,Pittsburgh,Pennsylvania,open,404,,
,Manhattan Beach,California,open,404,,
