org_id,display_name,missing_fields,missing_reason,next_action
1,Brookwood camps,"Website URL, Email, Company Phone, Street Address, City, State/Region, Postal Code, Country/Region, Definitive Categories, Fit Score, First Name, Last Name, Job Title",Website URL: No website URL in original data; Email: No email found during crawl or enrichment; Company Phone: No phone found during crawl or Maps lookup; Street Address: No address found during crawl or Maps lookup; City: No address found during crawl or Maps lookup; State/Region: No address found during crawl or Maps lookup; Postal Code: No address found during crawl or Maps lookup; Country/Region: Unknown; Definitive Categories: Taxonomy classification not run or failed; Fit Score: Unknown; First Name: Contact details not found during enrichment; Last Name: Contact details not found during enrichment; Job Title: Contact details not found during enrichment,Website URL: Manual research or use perplexity_lookup; Email: Run targeted_email_enrichment.py or apollo_email_lookup.py; Company Phone: Run yelp_business_lookup.py or manual research; Street Address: Run crawler with --verify-with-maps or use yelp_business_lookup.py; City: Run crawler with --verify-with-maps or use yelp_business_lookup.py; State/Region: Run crawler with --verify-with-maps or use yelp_business_lookup.py; Postal Code: Run crawler with --verify-with-maps or use yelp_business_lookup.py; Country/Region: Manual review required; Definitive Categories: Run perplexity_taxonomy_test.py with --force-taxonomy; Fit Score: Manual review required; First Name: Run perplexity_person_email_lookup for primary contact discovery; Last Name: Run perplexity_person_email_lookup for primary contact discovery; Job Title: Run perplexity_person_email_lookup for primary contact discovery
2,Future Genius Camps,"Website URL, Email, Company Phone, Street Address, City, State/Region, Postal Code, Country/Region, Definitive Categories, Fit Score, First Name, Last Name, Job Title",Website URL: No website URL in original data; Email: No email found during crawl or enrichment; Company Phone: No phone found during crawl or Maps lookup; Street Address: No address found during crawl or Maps lookup; City: No address found during crawl or Maps lookup; State/Region: No address found during crawl or Maps lookup; Postal Code: No address found during crawl or Maps lookup; Country/Region: Unknown; Definitive Categories: Taxonomy classification not run or failed; Fit Score: Unknown; First Name: Contact details not found during enrichment; Last Name: Contact details not found during enrichment; Job Title: Contact details not found during enrichment,Website URL: Manual research or use perplexity_lookup; Email: Run targeted_email_enrichment.py or apollo_email_lookup.py; Company Phone: Run yelp_business_lookup.py or manual research; Street Address: Run crawler with --verify-with-maps or use yelp_business_lookup.py; City: Run crawler with --verify-with-maps or use yelp_business_lookup.py; State/Region: Run crawler with --verify-with-maps or use yelp_business_lookup.py; Postal Code: Run crawler with --verify-with-maps or use yelp_business_lookup.py; Country/Region: Manual review required; Definitive Categories: Run perplexity_taxonomy_test.py with --force-taxonomy; Fit Score: Manual review required; First Name: Run perplexity_person_email_lookup for primary contact discovery; Last Name: Run perplexity_person_email_lookup for primary contact discovery; Job Title: Run perplexity_person_email_lookup for primary contact discovery
3,Art Party,"Website URL, Email, Company Phone, Street Address, City, State/Region, Postal Code, Country/Region, Definitive Categories, Fit Score, First Name, Last Name, Job Title",Website URL: No website URL in original data; Email: No email found during crawl or enrichment; Company Phone: No phone found during crawl or Maps lookup; Street Address: No address found during crawl or Maps lookup; City: No address found during crawl or Maps lookup; State/Region: No address found during crawl or Maps lookup; Postal Code: No address found during crawl or Maps lookup; Country/Region: Unknown; Definitive Categories: Taxonomy classification not run or failed; Fit Score: Unknown; First Name: Contact details not found during enrichment; Last Name: Contact details not found during enrichment; Job Title: Contact details not found during enrichment,Website URL: Manual research or use perplexity_lookup; Email: Run targeted_email_enrichment.py or apollo_email_lookup.py; Company Phone: Run yelp_business_lookup.py or manual research; Street Address: Run crawler with --verify-with-maps or use yelp_business_lookup.py; City: Run crawler with --verify-with-maps or use yelp_business_lookup.py; State/Region: Run crawler with --verify-with-maps or use yelp_business_lookup.py; Postal Code: Run crawler with --verify-with-maps or use yelp_business_lookup.py; Country/Region: Manual review required; Definitive Categories: Run perplexity_taxonomy_test.py with --force-taxonomy; Fit Score: Manual review required; First Name: Run perplexity_person_email_lookup for primary contact discovery; Last Name: Run perplexity_person_email_lookup for primary contact discovery; Job Title: Run perplexity_person_email_lookup for primary contact discovery
4,Y Knot Ranch,"Website URL, Email, Company Phone, Street Address, City, State/Region, Postal Code, Country/Region, Definitive Categories, Fit Score, First Name, Last Name, Job Title",Website URL: No website URL in original data; Email: No email found during crawl or enrichment; Company Phone: No phone found during crawl or Maps lookup; Street Address: No address found during crawl or Maps lookup; City: No address found during crawl or Maps lookup; State/Region: No address found during crawl or Maps lookup; Postal Code: No address found during crawl or Maps lookup; Country/Region: Unknown; Definitive Categories: Taxonomy classification not run or failed; Fit Score: Unknown; First Name: Contact details not found during enrichment; Last Name: Contact details not found during enrichment; Job Title: Contact details not found during enrichment,Website URL: Manual research or use perplexity_lookup; Email: Run targeted_email_enrichment.py or apollo_email_lookup.py; Company Phone: Run yelp_business_lookup.py or manual research; Street Address: Run crawler with --verify-with-maps or use yelp_business_lookup.py; City: Run crawler with --verify-with-maps or use yelp_business_lookup.py; State/Region: Run crawler with --verify-with-maps or use yelp_business_lookup.py; Postal Code: Run crawler with --verify-with-maps or use yelp_business_lookup.py; Country/Region: Manual review required; Definitive Categories: Run perplexity_taxonomy_test.py with --force-taxonomy; Fit Score: Manual review required; First Name: Run perplexity_person_email_lookup for primary contact discovery; Last Name: Run perplexity_person_email_lookup for primary contact discovery; Job Title: Run perplexity_person_email_lookup for primary contact discovery
5,Jot Form,"Website URL, Email, Company Phone, Street Address, City, State/Region, Postal Code, Country/Region, Definitive Categories, Fit Score, First Name, Last Name, Job Title",Website URL: No website URL in original data; Email: No email found during crawl or enrichment; Company Phone: No phone found during crawl or Maps lookup; Street Address: No address found during crawl or Maps lookup; City: No address found during crawl or Maps lookup; State/Region: No address found during crawl or Maps lookup; Postal Code: No address found during crawl or Maps lookup; Country/Region: Unknown; Definitive Categories: Taxonomy classification not run or failed; Fit Score: Unknown; First Name: Contact details not found during enrichment; Last Name: Contact details not found during enrichment; Job Title: Contact details not found during enrichment,Website URL: Manual research or use perplexity_lookup; Email: Run targeted_email_enrichment.py or apollo_email_lookup.py; Company Phone: Run yelp_business_lookup.py or manual research; Street Address: Run crawler with --verify-with-maps or use yelp_business_lookup.py; City: Run crawler with --verify-with-maps or use yelp_business_lookup.py; State/Region: Run crawler with --verify-with-maps or use yelp_business_lookup.py; Postal Code: Run crawler with --verify-with-maps or use yelp_business_lookup.py; Country/Region: Manual review required; Definitive Categories: Run perplexity_taxonomy_test.py with --force-taxonomy; Fit Score: Manual review required; First Name: Run perplexity_person_email_lookup for primary contact discovery; Last Name: Run perplexity_person_email_lookup for primary contact discovery; Job Title: Run perplexity_person_email_lookup for primary contact discovery
6,Artful Expeditions,"Website URL, Email, Company Phone, Street Address, City, State/Region, Postal Code, Country/Region, Definitive Categories, Fit Score, First Name, Last Name, Job Title",Website URL: No website URL in original data; Email: No email found during crawl or enrichment; Company Phone: No phone found during crawl or Maps lookup; Street Address: No address found during crawl or Maps lookup; City: No address found during crawl or Maps lookup; State/Region: No address found during crawl or Maps lookup; Postal Code: No address found during crawl or Maps lookup; Country/Region: Unknown; Definitive Categories: Taxonomy classification not run or failed; Fit Score: Unknown; First Name: Contact details not found during enrichment; Last Name: Contact details not found during enrichment; Job Title: Contact details not found during enrichment,Website URL: Manual research or use perplexity_lookup; Email: Run targeted_email_enrichment.py or apollo_email_lookup.py; Company Phone: Run yelp_business_lookup.py or manual research; Street Address: Run crawler with --verify-with-maps or use yelp_business_lookup.py; City: Run crawler with --verify-with-maps or use yelp_business_lookup.py; State/Region: Run crawler with --verify-with-maps or use yelp_business_lookup.py; Postal Code: Run crawler with --verify-with-maps or use yelp_business_lookup.py; Country/Region: Manual review required; Definitive Categories: Run perplexity_taxonomy_test.py with --force-taxonomy; Fit Score: Manual review required; First Name: Run perplexity_person_email_lookup for primary contact discovery; Last Name: Run perplexity_person_email_lookup for primary contact discovery; Job Title: Run perplexity_person_email_lookup for primary contact discovery
6,Artful Expeditions,"Website URL, Email, Company Phone, Street Address, City, State/Region, Postal Code, Country/Region, Definitive Categories, Fit Score, First Name, Last Name, Job Title",Website URL: No website URL in original data; Email: No email found during crawl or enrichment; Company Phone: No phone found during crawl or Maps lookup; Street Address: No address found during crawl or Maps lookup; City: No address found during crawl or Maps lookup; State/Region: No address found during crawl or Maps lookup; Postal Code: No address found during crawl or Maps lookup; Country/Region: Unknown; Definitive Categories: Taxonomy classification not run or failed; Fit Score: Unknown; First Name: Contact details not found during enrichment; Last Name: Contact details not found during enrichment; Job Title: Contact details not found during enrichment,Website URL: Manual research or use perplexity_lookup; Email: Run targeted_email_enrichment.py or apollo_email_lookup.py; Company Phone: Run yelp_business_lookup.py or manual research; Street Address: Run crawler with --verify-with-maps or use yelp_business_lookup.py; City: Run crawler with --verify-with-maps or use yelp_business_lookup.py; State/Region: Run crawler with --verify-with-maps or use yelp_business_lookup.py; Postal Code: Run crawler with --verify-with-maps or use yelp_business_lookup.py; Country/Region: Manual review required; Definitive Categories: Run perplexity_taxonomy_test.py with --force-taxonomy; Fit Score: Manual review required; First Name: Run perplexity_person_email_lookup for primary contact discovery; Last Name: Run perplexity_person_email_lookup for primary contact discovery; Job Title: Run perplexity_person_email_lookup for primary contact discovery
7,Pathfinder International,"Website URL, Email, Company Phone, Street Address, City, State/Region, Postal Code, Country/Region, Definitive Categories, Fit Score, First Name, Last Name, Job Title",Website URL: No website URL in original data; Email: No email found during crawl or enrichment; Company Phone: No phone found during crawl or Maps lookup; Street Address: No address found during crawl or Maps lookup; City: No address found during crawl or Maps lookup; State/Region: No address found during crawl or Maps lookup; Postal Code: No address found during crawl or Maps lookup; Country/Region: Unknown; Definitive Categories: Taxonomy classification not run or failed; Fit Score: Unknown; First Name: Contact details not found during enrichment; Last Name: Contact details not found during enrichment; Job Title: Contact details not found during enrichment,Website URL: Manual research or use perplexity_lookup; Email: Run targeted_email_enrichment.py or apollo_email_lookup.py; Company Phone: Run yelp_business_lookup.py or manual research; Street Address: Run crawler with --verify-with-maps or use yelp_business_lookup.py; City: Run crawler with --verify-with-maps or use yelp_business_lookup.py; State/Region: Run crawler with --verify-with-maps or use yelp_business_lookup.py; Postal Code: Run crawler with --verify-with-maps or use yelp_business_lookup.py; Country/Region: Manual review required; Definitive Categories: Run perplexity_taxonomy_test.py with --force-taxonomy; Fit Score: Manual review required; First Name: Run perplexity_person_email_lookup for primary contact discovery; Last Name: Run perplexity_person_email_lookup for primary contact discovery; Job Title: Run perplexity_person_email_lookup for primary contact discovery
8,Arcadia Center For Sustainable Food and Agriculture,"Website URL, Email, Company Phone, Street Address, City, State/Region, Postal Code, Country/Region, Definitive Categories, Fit Score, First Name, Last Name, Job Title",Website URL: No website URL in original data; Email: No email found during crawl or enrichment; Company Phone: No phone found during crawl or Maps lookup; Street Address: No address found during crawl or Maps lookup; City: No address found during crawl or Maps lookup; State/Region: No address found during crawl or Maps lookup; Postal Code: No address found during crawl or Maps lookup; Country/Region: Unknown; Definitive Categories: Taxonomy classification not run or failed; Fit Score: Unknown; First Name: Contact details not found during enrichment; Last Name: Contact details not found during enrichment; Job Title: Contact details not found during enrichment,Website URL: Manual research or use perplexity_lookup; Email: Run targeted_email_enrichment.py or apollo_email_lookup.py; Company Phone: Run yelp_business_lookup.py or manual research; Street Address: Run crawler with --verify-with-maps or use yelp_business_lookup.py; City: Run crawler with --verify-with-maps or use yelp_business_lookup.py; State/Region: Run crawler with --verify-with-maps or use yelp_business_lookup.py; Postal Code: Run crawler with --verify-with-maps or use yelp_business_lookup.py; Country/Region: Manual review required; Definitive Categories: Run perplexity_taxonomy_test.py with --force-taxonomy; Fit Score: Manual review required; First Name: Run perplexity_person_email_lookup for primary contact discovery; Last Name: Run perplexity_person_email_lookup for primary contact discovery; Job Title: Run perplexity_person_email_lookup for primary contact discovery
9,Big City Basketball,"Website URL, Email, Company Phone, Street Address, City, State/Region, Postal Code, Country/Region, Definitive Categories, Fit Score, First Name, Last Name, Job Title",Website URL: No website URL in original data; Email: No email found during crawl or enrichment; Company Phone: No phone found during crawl or Maps lookup; Street Address: No address found during crawl or Maps lookup; City: No address found during crawl or Maps lookup; State/Region: No address found during crawl or Maps lookup; Postal Code: No address found during crawl or Maps lookup; Country/Region: Unknown; Definitive Categories: Taxonomy classification not run or failed; Fit Score: Unknown; First Name: Contact details not found during enrichment; Last Name: Contact details not found during enrichment; Job Title: Contact details not found during enrichment,Website URL: Manual research or use perplexity_lookup; Email: Run targeted_email_enrichment.py or apollo_email_lookup.py; Company Phone: Run yelp_business_lookup.py or manual research; Street Address: Run crawler with --verify-with-maps or use yelp_business_lookup.py; City: Run crawler with --verify-with-maps or use yelp_business_lookup.py; State/Region: Run crawler with --verify-with-maps or use yelp_business_lookup.py; Postal Code: Run crawler with --verify-with-maps or use yelp_business_lookup.py; Country/Region: Manual review required; Definitive Categories: Run perplexity_taxonomy_test.py with --force-taxonomy; Fit Score: Manual review required; First Name: Run perplexity_person_email_lookup for primary contact discovery; Last Name: Run perplexity_person_email_lookup for primary contact discovery; Job Title: Run perplexity_person_email_lookup for primary contact discovery
