company_name,full_address ,city,state,zip_code,contact_phone,website_url
10Four Youth Center,"2102 N Marion St, Denver, CO 80205, USA",Denver,CO,80205,(303) 830-6911,https://www.10four.io/
18 Reasons,"3674 18th St, San Francisco, CA 94110, USA",San Francisco,CA,94110,(415) 568-2710,https://www.18reasons.org/
92Y Camps,"1395 Lexington Ave, New York, NY 10128, USA",New York,NY,10128,(212) 415-5573,
Adam's Camp,"56 Inverness Dr E # 250, Englewood, CO 80112, USA",Englewood,CO,80112,(303) 563-8290,https://adamscamp.org/
Adventure Camp,"125 11th Ave, San Francisco, CA 94118, USA",San Francisco,CA,94118,(415) 388-2216,http://www.adventurecamps.net/
Adventure Camp Tampa,"2020 W Fletcher Ave, Tampa, FL 33612, USA",Tampa,FL,33612,(813) 963-2242,https://www.adventurecamptampa.com/
Agape Community Center/Agapeland Summer Program,"378 18th Ave, San Francisco, CA 94121, USA",San Francisco,CA,94121,(415) 387-7204,http://www.accsf.org/
Alcuin Summer,"6144 Churchill Way, Dallas, TX 75230, USA",Dallas,TX,75230,(214) 239-1745,https://www.alcuinschool.org/alcuin-summer
Alki Adventure Camp,"4701 SW Admiral Wy, Seattle, WA 98116, USA",Seattle,WA,98116,(206) 650-3778,https://www.alkiadvcamp.com/
Alpha Summer Camp,"2937 86th St, Brooklyn, NY 11223, USA",Brooklyn,NY,11223,(718) 333-0300,http://alphasummercamp.com/contact-us/
Amazing Downtown Summer Camp (formerly Oasis Day Camp Downtown),"142 Broome St, New York, NY 10002, USA",New York,NY,10002,,https://oasischildren.com/downtown--east-village/
Ascend Camp & Retreat Center,"5218 Kiwanis Rd, Dallas, TX 75236, USA",Dallas,TX,75236,(469) 998-2267,https://www.ascendtexas.com/
Aurora's Best After School Program & Summer Camp,"10958 E Bethany Dr, Aurora, CO 80014, USA",Aurora,CO,80014,(720) 400-0023,https://aurorasbestafterschool.com/
Austin Sports Academy,"275 Lotus Cir, Austin, TX 78737, USA",Austin,TX,78737,(512) 382-6952,http://www.austinsportsacademy.com/
Austin Sunshine Camps,"2225 Andrew Zilker Rd, Austin, TX 78746, USA",Austin,TX,78746,(512) 472-8107,http://www.sunshinecamps.org/
Bake Austin / Kids Culinary School,"1706 E 38th 1/2 St, Austin, TX 78722, USA",Austin,TX,78722,(512) 997-8277,http://www.bakeaustin.com/
